,pair,max,min,mean,vol,fd,correlation_with_BTC/USD,correlation_with_EUR/USD,Forecastability
2024-04-29 19:49:21.153152,GBP/CHF,1.144135,1.1439,1.1440316666666668,0.00020541389442890002,18.49992588008934,0.8218459210832241,-0.8761216985091702,FORECASTABLE
2024-04-29 19:55:21.153152,GBP/CHF,1.1440000000000001,1.1438,1.1439082075471698,0.00017483920360100475,16.89272290780329,0.764085754244894,-0.79451334561332,FORECASTABLE
2024-04-29 20:01:21.153152,GBP/CHF,1.1440000000000001,1.143795,1.14389875,0.0001792116653683141,14.229102093853053,0.6766161746934679,-0.5791695337028467,FORECASTABLE
2024-04-29 20:07:21.153152,GBP/CHF,1.1440000000000001,1.143735,1.1438747368421054,0.00023166872338816326,15.750322411386296,0.5388887243492759,-0.10420242419769146,FORECASTABLE
2024-04-29 20:13:21.153152,GBP/CHF,1.1441,1.143815,1.143894649122807,0.0002491488182223951,9.784085799409564,0.4029443701982485,0.24562302839038763,FORECASTABLE
2024-04-29 20:19:21.153152,GBP/CHF,1.1440000000000001,1.143745,1.1438522727272726,0.0002229308854648887,11.647499695236977,0.24078518601936033,0.5927199295729976,FORECASTABLE
2024-04-29 20:25:21.153152,GBP/CHF,1.1439249999999999,1.143705,1.1437910204081634,0.00019234282843152558,7.911135148264896,0.2340063758357207,0.6959512045496254,FORECASTABLE
2024-04-29 20:31:21.153152,GBP/CHF,1.143915,1.143785,1.1438325,0.00011365300426414136,14.237398715589483,0.2374697369943817,0.6999714204984668,FORECASTABLE
2024-04-29 20:37:21.153152,GBP/CHF,1.14397,1.1437,1.1438897169811324,0.00023603674024848842,23.984635897438356,0.38605843296383585,0.6769384782338492,FORECASTABLE
2024-04-29 20:43:21.153152,GBP/CHF,1.1441050000000001,1.1438,1.14392820754717,0.0002666251238390282,8.667725359999192,0.35164629815504955,0.6742249624619416,FORECASTABLE
2024-04-29 20:49:21.153152,GBP/CHF,1.1442350000000001,1.143835,1.1440295454545455,0.00034964131965774546,7.651191945550924,0.32384469760302065,0.6811694174091388,FORECASTABLE
2024-04-29 20:55:21.153152,GBP/CHF,1.144255,1.143785,1.1440552777777777,0.0004108193101585985,6.474720406189505,0.3223689149577843,0.6701947007241276,FORECASTABLE
2024-04-29 21:01:21.153152,GBP/CHF,1.1440000000000001,1.1434549999999999,1.1438143137254901,0.00047647593972236044,3.37655978918545,0.13090262351729448,0.6388280470561578,FORECASTABLE
2024-04-29 21:07:21.153152,GBP/CHF,1.1439,1.143465,1.1437237999999998,0.00038033658126198234,2.991310237306862,-0.017191430151159565,0.5411046975833111,FORECASTABLE
2024-04-29 21:13:21.153152,GBP/CHF,1.143905,1.143715,1.1438059375,0.00016611209451770524,4.704973889891214,-0.08117606647571539,0.5194316712621406,FORECASTABLE
2024-04-29 21:19:21.153152,GBP/CHF,1.14397,1.143785,1.1438777777777778,0.00016173056561976488,17.11641317569122,-0.1333858988044849,0.5198398330893557,FORECASTABLE
2024-04-29 21:25:21.153152,GBP/CHF,1.1440000000000001,1.143745,1.1438260975609758,0.00022293598698601346,7.565232997705081,-0.16518798780608926,0.4767069374529432,FORECASTABLE
2024-04-29 21:31:21.153152,GBP/CHF,1.143985,1.1438,1.1439153571428573,0.00016172525252408,9.795564248314793,-0.16235908580582373,0.45042412114782393,FORECASTABLE
2024-04-29 21:37:21.153152,GBP/CHF,1.1440350000000001,1.143805,1.1439070454545452,0.00020106528840267894,17.904762111801983,-0.14420410801580966,0.36902953893039914,FORECASTABLE
2024-04-29 21:43:21.153152,GBP/CHF,1.1440000000000001,1.1436,1.1437547826086956,0.0003497253135745156,9.897282697623954,-0.12632821280933168,0.3650136445753677,FORECASTABLE
2024-04-29 21:49:21.153152,GBP/CHF,1.1439,1.1436,1.1437732222222223,0.0002622897565455334,5.146896521733031,-0.07432610924035858,0.336505186270243,FORECASTABLE
